region,date,value
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2006-12-31,14602
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2016-12-31,56251
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2012-12-31,43931
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2005-12-31,12385
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2003-12-31,7771
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2009-12-31,31167
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2010-12-31,34653
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2015-12-31,49400
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2007-12-31,18889
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2011-12-31,41801
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2017-12-31,62629
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2013-12-31,46476
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2008-12-31,29052
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2004-12-31,9553
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2000-12-31,4678
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2014-12-31,49997
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2002-12-31,6535
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2018-12-31,66924
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2001-12-31,5618
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2019-12-31,76971
КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ,2020-12-31,85142
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,31477
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,8145
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,7126
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,47256
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,14939
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,54652
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,19033
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,5105
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,11405
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,6117
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,10084
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,51078
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,27413
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,62953
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,43514
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,78967
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,24178
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,39415
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,71402
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,88229
СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,103292
КОСТАНАЙСКАЯ ОБЛАСТЬ,2016-12-31,65922
КОСТАНАЙСКАЯ ОБЛАСТЬ,2013-12-31,48006
КОСТАНАЙСКАЯ ОБЛАСТЬ,2018-12-31,82093
КОСТАНАЙСКАЯ ОБЛАСТЬ,2001-12-31,6239
КОСТАНАЙСКАЯ ОБЛАСТЬ,2005-12-31,12574
КОСТАНАЙСКАЯ ОБЛАСТЬ,2010-12-31,30514
КОСТАНАЙСКАЯ ОБЛАСТЬ,2003-12-31,8573
КОСТАНАЙСКАЯ ОБЛАСТЬ,2004-12-31,10474
КОСТАНАЙСКАЯ ОБЛАСТЬ,2014-12-31,51633
КОСТАНАЙСКАЯ ОБЛАСТЬ,2000-12-31,5472
КОСТАНАЙСКАЯ ОБЛАСТЬ,2015-12-31,55399
КОСТАНАЙСКАЯ ОБЛАСТЬ,2006-12-31,16558
КОСТАНАЙСКАЯ ОБЛАСТЬ,2007-12-31,21860
КОСТАНАЙСКАЯ ОБЛАСТЬ,2011-12-31,35998
КОСТАНАЙСКАЯ ОБЛАСТЬ,2012-12-31,43918
КОСТАНАЙСКАЯ ОБЛАСТЬ,2002-12-31,7103
КОСТАНАЙСКАЯ ОБЛАСТЬ,2009-12-31,26932
КОСТАНАЙСКАЯ ОБЛАСТЬ,2017-12-31,75922
КОСТАНАЙСКАЯ ОБЛАСТЬ,2008-12-31,26318
КОСТАНАЙСКАЯ ОБЛАСТЬ,2019-12-31,92543
КОСТАНАЙСКАЯ ОБЛАСТЬ,2020-12-31,105856
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,14287
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,77733
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,95621
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,56974
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,43556
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,6555
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,15313
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,53462
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,62027
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,35512
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,38717
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,64316
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,23816
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,17873
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,47436
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,84971
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,17864
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,12345
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,9293
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,107202
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,112319
